word	polarity	subjectivity
!	5	5
!!	5	5
!!!	5	5
!!!!	5	5
!!!!!	5	5
!!!!!!	5	5
!!!!!!!	5	5
!!!!!!!!	0.72	2.99
!!!!!!!!!	0.65	2.07
!!!!!!!!!!	0.36	1.71
!!!!!!!!!!!	1.07	1.52
!!!!!!!!!!!!	0.34	0.97
!!!!!!!!!!!!!	0.4	0.73
!!!!!!!!!!!!!!	-0.13	0.73
!!!!!!!!!!!!!!!	0.29	0.37
!!!!!!!!!!!!!!!!	0.02	0.3
!!!!!!!!!!!!!!!!!	0.05	0.61
!!!!!!!!!!!!!!!!!!	-0.02	0.12
!!!!!!!!!!!!!!!!!!!	0.13	0.24
!!!!!!!!!!!!!!!!!!!!	0.24	0.18
!!!!!!!!!!!!!!!!!!!!!	0.32	0.24
!!!!!!!!!!!!!!!!!!!!!!!	0.16	0.12
!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!	0.05	0.18
!!!!!!!!!!!!!!!!!!!!!!!!!!	0.16	0.12
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.16	0.12
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	-0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	-0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.08	0.06
!!!!!!!!!!!.....	-0.08	0.06
!!!!!!!!!!????????????	0.16	0.12
!!!!!!!!!..	-0.08	0.06
!!!!!!!!!....	-0.08	0.06
!!!!!!!!...	-0.08	0.06
!!!!!!!..	0.16	0.12
!!!!!!!...	0.08	0.06
!!!!!!!........................	-0.08	0.06
!!!!!!!?	0.08	0.06
!!!!!!!????	-0.08	0.06
!!!!!!....	0.08	0.06
!!!!!.	-0.08	0.06
!!!!!..	0.16	0.12
!!!!!...	-0.18	0.24
!!!!!.....	-0.08	0.06
!!!!!?	-0.08	0.06
!!!!.	0.05	0.18
!!!!..	-0.08	0.06
!!!!...	0.01	1.16
!!!!....	0	0.43
!!!!.....	0.16	0.12
!!!!.......	-0.08	0.06
!!!!?	0.08	0.06
!!!!???	-0.08	0.06
!!!!????	-0.08	0.06
!!!.	0.51	0.67
!!!..	0.69	1.52
!!!...	2.24	3.84
!!!....	0.02	0.73
!!!.....	0.05	0.18
!!!......	0.4	0.3
!!!.......	0.16	0.12
!!!........	-0.08	0.06
!!!..........	-0.02	0.12
!!!............	0.08	0.06
!!!?	-0.08	0.06
!!!??	0.05	0.18
!!!???	1.13	1.28
!!!????	0.08	0.06
!!!????...	0.08	0.06
!!.	0.34	0.98
!!..	1.65	3.11
!!...	0.61	3.48
!!....	0.05	0.61
!!.....	-0.1	0.18
!!.......	0.08	0.06
!!........	0.16	0.12
!!.............	0.16	0.12
!!?	0.29	0.37
!!??	-0.1	0.18
!.	-2.07	5
!..	0.8	5
!...	1.19	5
!....	0.6	1.89
!.....	0.19	0.43
!......	-0.02	0.12
!.......	-0.02	0.12
!.?	0.08	0.06
!?	-2.38	5
!?!	-0.24	0.18
